"code" "name" "class"
"sh600615" "丰华股份" "地产"
"sh600617" "国新能源" "地产"
"sh600621" "华鑫股份" "地产"
"sh600638" "新黄浦" "地产"
"sh600641" "万业企业" "地产"
"sh600657" "信达地产" "地产"
"sh600663" "陆家嘴" "地产"
"sh600665" "天地源" "地产"
"sh600675" "中华企业" "地产"
"sh600683" "京投银泰" "地产"
"sh600684" "珠江实业" "地产"
"sh600696" "多伦股份" "地产"
"sh600716" "凤凰股份" "地产"
"sh600724" "宁波富达" "地产"
"sh600732" "上海新梅" "地产"
"sh600733" "S前锋" "地产"
"sh600743" "华远地产" "地产"
"sh600745" "中茵股份" "地产"
"sh600748" "上实发展" "地产"
"sh600759" "洲际油气" "地产"
"sh600767" "运盛实业" "地产"
"sh600773" "西藏城投" "地产"
"sh600791" "京能置业" "地产"
"sh600807" "天业股份" "地产"
"sh600823" "世茂股份" "地产"
"sh600862" "南通科技" "地产"
"sh600890" "中房股份" "地产"
"sh601588" "北辰实业" "地产"
"sz000002" "万" "地产"
"sz000005" "世纪星源" "地产"
"sz000006" "深振业Ａ" "地产"
"sz000009" "中国宝安" "地产"
"sz000011" "深物业A" "地产"
"sz000014" "沙河股份" "地产"
"sz000024" "招商地产" "地产"
"sz000029" "深深房Ａ" "地产"
"sz000031" "中粮地产" "地产"
"sz000036" "华联控股" "地产"
"sz000038" "深大通" "地产"
"sz000040" "宝安地产" "地产"
"sz000042" "中洲控股" "地产"
"sz000043" "中航地产" "地产"
"sz000046" "泛海控股" "地产"
"sz000056" "深国商" "地产"
"sz000150" "宜华地产" "地产"
"sz000402" "金" "地产"
"sz000502" "绿景控股" "地产"
"sz000505" "珠江控股" "地产"
"sz000506" "中润资源" "地产"
"sz000511" "烯碳新材" "地产"
"sz000514" "渝" "地产"
"sz000517" "荣安地产" "地产"
"sz000526" "银润投资" "地产"
"sz000534" "万泽股份" "地产"
"sz000537" "广宇发展" "地产"
"sz000540" "中天城投" "地产"
"sz000546" "金圆股份" "地产"
"sz000558" "莱茵置业" "地产"
"sz000567" "海德股份" "地产"
"sz000573" "粤宏远Ａ" "地产"
"sz000608" "阳光股份" "地产"
"sz000609" "绵世股份" "地产"
"sz000616" "亿城投资" "地产"
"sz000620" "新华联" "地产"
"sz000631" "顺发恒业" "地产"
"sz000656" "金科股份" "地产"
"sz000667" "美好集团" "地产"
"sz000668" "荣丰控股" "地产"
"sz000670" "盈方微" "地产"
"sz000671" "阳" "地产"
"sz000691" "亚太实业" "地产"
"sz000711" "京蓝科技" "地产"
"sz000718" "苏宁环球" "地产"
"sz000732" "泰禾集团" "地产"
"sz000736" "中房地产" "地产"
"sz000797" "中国武夷" "地产"
"sz000809" "铁岭新城" "地产"
"sz000838" "国兴地产" "地产"
"sz000861" "海印股份" "地产"
"sz000863" "三湘股份" "地产"
"sz000897" "津滨发展" "地产"
"sz000918" "嘉凯城" "地产"
"sz000926" "福星股份" "地产"
"sz000931" "中" "地产"
"sz000965" "天保基建" "地产"
"sz000979" "中弘股份" "地产"
"sz000981" "银亿股份" "地产"
"sz002016" "世荣兆业" "地产"
"sz002077" "大港股份" "地产"
"sz002133" "广宇集团" "地产"
"sz002146" "荣盛发展" "地产"
"sz002208" "合肥城建" "地产"
"sz002244" "滨江集团" "地产"
"sz002285" "世联行" "地产"
"sz002305" "南国置业" "地产"
"sh600008" "首创股份" "环保"
"sh600388" "龙净环保" "环保"
"sh600499" "科达洁能" "环保"
"sh600526" "菲达环保" "环保"
"sh600874" "创业环保" "环保"
"sh601608" "中信重工" "环保"
"sz000027" "深圳能源" "环保"
"sz000100" "TCL" "环保"
"sz000404" "华意压缩" "环保"
"sz000544" "中原环保" "环保"
"sz000598" "兴蓉投资" "环保"
"sz000826" "桑德环境" "环保"
"sz002200" "云投生态" "环保"
"sz002499" "科林环保" "环保"
"sz002573" "国电清新" "环保"
"sz002616" "长青集团" "环保"
"sz002672" "东江环保" "环保"
"sz300055" "万邦达" "环保"
"sz300056" "三维丝" "环保"
"sz300070" "碧水源" "环保"
"sz300137" "先河环保" "环保"
"sz300156" "神雾环保" "环保"
"sz300172" "中电环保" "环保"
"sz300187" "永清环保" "环保"
"sz300190" "维尔利" "环保"
"sz300197" "铁汉生态" "环保"
"sz300262" "巴安水务" "环保"
"sz300332" "天壕节能" "环保"
"sz300335" "迪森股份" "环保"
"sz300355" "蒙草抗旱" "环保"
"sh600037" "歌华有线" "传媒"
"sh600088" "中视传媒" "传媒"
"sh600373" "中文传媒" "传媒"
"sh600551" "时代出版" "传媒"
"sh600633" "浙报传媒" "传媒"
"sh600637" "百视通" "传媒"
